id	output
"bafkreihd4yqutgqjtqb7ta6sb4w4xoy4vhkqjvaoxfcp4fubcfa6dxzm2i"	{"roof_date": null}
"bafkreidpk4i7anc7a2o4enyctrltjlkvo7mmvrv66mxixgjdnz3sjkakvi"	{"roof_date": null}
"bafkreicawi4j7mvqyjld6qhlcyfibqxc6peisbuf2jji4npxlayztriw4y"	{"roof_date": null}
"bafkreib6e226k7cxtwz2q5f66ergyjlsnilqvayse6yzsseldejkibexpa"	{"roof_date": null}
"bafkreiaetfk475b7twl6kzipowyctn5extevzedsbpdaftqghhaesj2qwm"	{"roof_date": null}
"bafkreieptd5myaxad4qjmx52qbhlogrcyd7sybsovdti26zevrobjjeizm"	{"roof_date": null}
"bafkreifumcabhhb23j42y4aip574jnp4dp4w7ytcp7txwgaq2vabohpjji"	{"roof_date": null}
"bafkreih4jlf4fd2hkhfghfy74uaqqpqaqd23wiz3qzme2dq3k6os346w4e"	{"roof_date": null}
"bafkreicc4jru6ybuvcv2jgwuko4akp3726pnzq5brh6cdksjw5u3vihhtm"	{"roof_date": null}
"bafkreicz5ate2r2ilnjohlmlxmz5wwrubc6il4usucfxmaecqwultsqg2m"	{"roof_date": null}
"bafkreidlkjdzenuc6rwzfj4672up34qsi6m4tpx5aosqkboyvaldhdopfe"	{"roof_date": null}
"bafkreidg54owyvaxdveqj2q3si5gckktykl4gbi6rjk7lvkylcw7cviixu"	{"roof_date": null}
"bafkreibc4aof5v7d74yrga2k37iapk3aezascr43xdymtfr5rqjhqe4f5q"	{"roof_date": null}
"bafkreibjik3svmfu3itveveihz4ggbds6e4gvj2tcwqgsnmofbzab6hwbi"	{"roof_date": null}
"bafkreihfzjk3472ce6p7vaq3aboxwudmsze6pqcfiefeew3c6tu46cw36i"	{"roof_date": null}
"bafkreie6smc2tqwnqp4libik2b22cv3pepttqcaxtqp6znu3rtau5ftdeu"	{"roof_date": null}
"bafkreicugud3tuwy6gvbui5erj3hzjhmqjjijz6qrenyv6qp62qofgz2nq"	{"roof_date": null}
"bafkreidmnkyvo5kxx5m6ybvi32jkshehsrcnwphr5qiq3pr7b32dl7xnbq"	{"roof_date": null}
"bafkreiebq27xlbcjfyhkfv2xujgqa2n4g3zzj2ahv2uba3t3ngfykipcyi"	{"roof_date": null}
"bafkreigwtud7rxfh4qnmvjfc2ihgxm662duqwbdge3bxxq2gkxvyyqzouy"	{"roof_date": null}
"bafkreibg4qgg2c7qzic7xkfoj7kpkm664z5qb6jrksdc7uy57haw76wufu"	{"roof_date": null}
"bafkreig5jfpox2jtlsvyrqc2z62rckf4ryhvyyj7q3dtkw6n2zff3bug4i"	{"roof_date": null}
"bafkreicp7obsorpg7jjnktkvdmqovjzao7w7xnkyenwic2dbw3iohet6mm"	{"roof_date": null}
"bafkreie3aq75nmiqva2juxephu25vxsgs3lnzsdxswz6resegvgeflnz7m"	{"roof_date": null}
"bafkreie4eobtcrqygv5odmv6ewcwqxuh7tbvuqxb2lstvp5hohdepp6dvu"	{"roof_date": null}
"bafkreidaq36k33oh5owb2jq2ongzwk5xumqkglrvjbn57paoz6l6xcklx4"	{"roof_date": null}
"bafkreiguhsqmwpr4ggsq3iwajcfitvimidb3tae6yxwpc5dlcqtvmmy7vq"	{"roof_date": null}
"bafkreiac76zkgt5lw7fozllka6532d5ki5nz4mu5fcbmhhg55napaxzizy"	{"roof_date": null}
"bafkreib2s5nythz37zy2wmb5ihpun2zquyrbk5ms3wqs3gppwuvhurzbz4"	{"roof_date": null}
"bafkreicxgj7yeoohxtjdk5nznuecccowcm53ozfktsw6glqnldogfmhlm4"	{"roof_date": null}
"bafkreiczrtjvfer4xhpvdaw4ep5lrvnyy3emunjfgv7x44ojsgeyliuoce"	{"roof_date": null}
"bafkreiatwenine3jv6kks4qb6d62msbvjr6becm2voetz4ivyyeqfrzofa"	{"roof_date": null}
"bafkreidxvbnloeqsi36dcquzg46yzjgd55422gbqzyylkqgep76ca3h3zq"	{"roof_date": null}
"bafkreiaeez7q56w2liip6oer6q6fol63quoi43b5wkww4jwf335rt6klyi"	{"roof_date": null}
"bafkreidjfe3v6lmbn2lifbm726qopvw7wc375vpkascdjg7sf4o5ncljrq"	{"roof_date": null}
"bafkreihscnxcx5uepdftrbuzf32hz2brzvhkmdqhgjjwudcb4b6q5ewara"	{"roof_date": null}
"bafkreifgh7txc473wjzrqg64hmyiugdut5udwxleoyvgjpsuhulnq6mm6u"	{"roof_date": null}
"bafkreid6iuwknurtdbm7fvlgaxosvv3u5zprj3g3tsuj5jj6fmrjfezebi"	{"roof_date": null}
